chipset,benchmark
GeForce RTX 5090 D,42306
GeForce RTX 5090,39450
GeForce RTX 4090,38193
GeForce RTX 5080,36463
GeForce RTX 4080,34452
GeForce RTX 4080 SUPER,34270
GeForce RTX 5070 Ti,32966
GeForce RTX 4090 D,32260
GeForce RTX 4070 Ti SUPER,31808
RTX PRO 6000 Blackwell Max-Q Workstation Edition,31615
GeForce RTX 4070 Ti,31611
RTX PRO 4500 Blackwell,31554
RTX PRO 6000 Blackwell Workstation Edition,31319
Radeon RX 7900 XTX,31263
RTX 5000 Ada Generation,30720
GeForce RTX 4070 SUPER,29991
RTX PRO 5000 Blackwell Generation Laptop GPU,29872
Radeon AI PRO R9700,29831
GeForce RTX 5090 Laptop GPU,29614
GeForce RTX 3090 Ti,29441
GeForce RTX 5070,29082
Radeon RX 7900 XT,29011
RTX 6000 Ada Generation,28775
RTX PRO 4000 Blackwell Generation Laptop GPU,28634
Radeon PRO W7900,28261
Radeon RX 6950 XT,28057
RTX 4500 Ada Generation,27564
GeForce RTX 5080 Laptop GPU,27481
GeForce RTX 4090 Laptop GPU,27228
Radeon PRO W7800,27061
Radeon RX 7900 GRE,27053
RTX PRO 3000 Blackwell Generation Laptop GPU,26959
GeForce RTX 4070,26925
GeForce RTX 3080 Ti,26891
Radeon RX 9070 XT,26841
Radeon RX 6900 XT,26730
GeForce RTX 3090,26634
GeForce RTX 3080 12GB,26561
Radeon RX 9070,25444
RTX 3500 Ada Generation Embedded GPU,25189
RTX 5880 Ada Generation,25096
GeForce RTX 3080,25086
Radeon RX 6800 XT,24976
GeForce RTX 4080 Laptop GPU,24903
Radeon RX 7800 XT,24184
RTX 4000 Ada Generation,24023
GeForce RTX 5070 Ti Laptop GPU,23718
RTX 5000 Ada Generation Laptop GPU,23598
GeForce RTX 3070 Ti,23336
Radeon PRO W7700,23184
GeForce RTX 5060 Ti 16GB,22853
GeForce RTX 4060 Ti 16GB,22738
Radeon RX 9070 GRE,22714
Racer-Tech USB Display Device,22706
GeForce RTX 4060 Ti,22691
