chipset,benchmark
Radeon HD 7640G + R5 M230 Dual,239
Quadro NVS 510M,238
GeForce 7600 GT,237
Radeon HD 6410D,237
Mobility Radeon HD 5470,236
RDPDD Chained DD,236
Quadro FX 4500 X2,236
Radeon HD 4550,236
Mobility Radeon HD 3670,232
Radeon E6465,231
Quadro FX 880M,231
Quadro NVS 290,228
Quadro FX 4500,227
CARRIZO 9874,227
Radeon HD 6470M,225
Radeon R3E,225
Radeon HD 7450,224
GT 430,223
GeForce GT 220,223
Radeon R5 230,222
Radeon HD 7340M,221
GeForce GT 330M,221
Quadro FX 770M,221
A6 Micro-6500T Quad-Core APU with RadeonR4,220
Mobility FireGL V5725,219
Quadro FX 2500M,218
Radeon HD 6320 Graphic,216
GeForce GT 230M,216
GeForce 9500 GS,216
Mobility Radeon. HD 5470,215
Mobility Radeon HD 5450,214
GeForce GT 240M,213
Intel HD 2000,213
Radeon HD 8250,212
Radeon HD 2600 PRO,211
GeForce Go 7600 GT,210
GeForce 320M,210
GeForce Go 7800 GTX,210
Radeon R2E,209
Intel G965 Express,209
Quadro NVS 320M,208
Quadro FX 1700,208
Radeon HD 4650 AGP,208
Quadro FX 1600M,207
Barco MXRT 1450,206
Intel 2nd Generation SandyBridge HD 3000,205
Intel Q45/Q43 Express Chipset,202
GeForce 7950 GX2,202
Radeon HD 6380G,201
NVS 5100M,200
Mobility Radeon HD 545v,200
RADEON HD7450,199
Radeon HD 6320M,198
Radeon HD 6450,198
Radeon HD 7340G,196
GeForce 315,196
Radeon HD 8210,195
Intel Infoshock HD,194
Radeon HD 8210E,194
Radeon HD 6430M,193
Mobility Radeon HD 2600 XT,192
GeForce 6800 GS,192
Mobility Radeon HD 4550,191
Mobility Radeon HD 540v,188
GeForce 8600 GTS,183
Radeon HD 3450,183
Quadro FX 580,182
Mobility Radeon HD 5430,181
Radeon HD 7310G,181
GeForce 9500 GT,181
Barco MXRT 7100,180
FireGL V3600,180
Quadro FX 3450/4000 SDI,179
Radeon HD 6230,179
FirePro 3D V3700,179
GeForce Go 7900 GS,178
GeForce 7800 GS,177
GeForce G100,176
Mobility Radeon HD 530v,175
Radeon HD 7310 - Carte graphique,174
GeForce 9400 GT,173
Quadro FX 380,173
Quadro FX 1700M,173
GeForce 8500 GT,172
Quadro FX 1500M,171
Radeon HDG 4670,170
FirePro 2460,170
GeForce GT 325M,170
Quadro FX 1500,170
Intel 2nd Generation SandyBridge HD,169
Radeon HD 3670,169
GeForce 9200,168
Mobility Radeon HD 2600,168
GeForce 8600M GT,168
GeForce G102M,168
GeForce GT 120,166
GeForce 7600 GS,166
Radeon HD 7310M,166
Intel HD manual-gen9_2015-133271,165
Radeon HD 7350,165
nForce 980a/780a SLI,165
GeForce 8200,164
Radeon HD 8350,163
GeForce 8400 GS,163
Radeon HD 4350,161
Intel 3rd Generation IvyBridge HD GT1,161
Radeon HD 4300/4500 Serisi,156
GeForce 9600M GT,155
Radeon HD 7340,153
Radeon X1950 CrossFire Edition,151
GeForce GT 120M,151
GeForce 305M,151
Radeon HD 3650 AGP,150
Mobility Radeon HD 4570,150
Quadro FX 3450,149
Intel G41 Express Chipset,149
Quadro 400,148
Mobility Radeon HD 4350,148
GeForce Go 7700,148
Radeon R5 220,147
Radeon HD 6320,147
ZX Chrome 645/640 GPU,147
S3 5400EW,146
Radeon X1900 GT,146
Quadro NVS 160M,146
GeForce GT 130M,145
Quadro FX 380 LP,145
Radeon HD 6300M,144
GeForce 505,144
GeForce 9200M GE,144
GeForce 8600 GS,144
GeForce 9400,144
GeForce 310,144
GeForce 6600 GT,143
FirePro 2270,142
GeForce 6800 GT,142
Intel G45/G43 Express Chipset,142
Mobility Radeon HD 3650,142
EG PARK,141
RADEON HD 6350,141
Radeon HD 4290,141
Radeon X1800 GTO,141
Radeon HD 6290M,140
nForce 760i SLI,140
NVS 2100M,140
Intel Haswell HD - GT2,139
GeForce 6800 Ultra,139
Intel B43 Express Chipset,138
GeForce Go 6800 Ultra,138
GeForce 9650M GT,137
Radeon X1900 CrossFire Edition,137
Radeon HD 5450,136
GeForce G200,136
Mobility Radeon HD 4330,135
Mobility Radeon X1900,135
Radeon HD 4330,135
