chipset,benchmark
Tesla K40m,3143
Radeon Pro 555,3141
Radeon R7 360,3128
Tesla C2070,3121
Radeon Ryzen 5 7535HS,3118
Radeon Pro 455,3113
Radeon Ryzen 7 4800HS,3102
Radeon 740M,3099
Matrox LUMA A310FP,3093
Radeon HD 7790,3090
GeForce GTX 860M,3088
GRID T4-2B,3069
GeForce GTX 560 Ti,3068
L4-2A,3063
Radeon R9 260,3048
EIZO MED-X5000,3038
Radeon R9 360,3032
Tesla C2075,3017
Radeon HD 6990,3014
FirePro W5100,2989
Qualcomm Adreno X1-85 GPU,2987
Snapdragon X Elite - X1E84100 - Qualcomm Adreno GP,2981
GRID M10-4Q,2977
GeForce GTX 675MX,2970
Quadro K1200,2963
A40-2Q,2960
FirePro W5000,2956
GRID K260Q,2949
Radeon Ryzen 7 PRO 5800H,2945
Radeon Ryzen 5 Pro 7535U,2940
Ryzen 9 5900HX with Radeon Graphics,2934
L40S-1Q,2932
Custom GPU 0405,2923
Radeon 660M Ryzen 5 7535HS,2921
Radeon RX Vega Ryzen 7 5825U,2916
FirePro W7170M,2899
Radeon R7 260,2892
FirePro M6100 FireGL V,2880
Ryzen 7 PRO 4700G with Radeon Graphics,2880
Radeon Pro WX 4170,2870
Radeon Pro V340 MxGPU,2853
Quadro M1000M,2840
GRID K280Q,2840
Radeon HD 6970,2832
Radeon Ryzen 7 5800H,2825
Radeon HD 8950,2825
GeForce MX350,2817
FirePro 3D V9800,2812
Quadro K5000M,2805
Ryzen 7 5800HS with Radeon Graphics,2795
Radeon R9 M380,2773
Quadro M620,2771
GeForce GTX 560,2768
GeForce GTX 770M,2768
A10-4Q,2765
Quadro K4100M,2764
Ryzen 7 5700G with Radeon Graphics,2757
NVIDIA A10-4Q,2756
GRID P4-2B4,2754
Radeon Ryzen 9 5980HS,2749
Ryzen 7 5800H with Radeon Graphics,2737
GRID K2,2737
Radeon Ryzen 7 PRO 5755G,2733
FirePro V9800,2727
FirePro W4300,2723
Radeon Pro 450,2723
Quadro K4000,2722
Ryzen 9 4900H with Radeon Graphics,2714
Parsec Virtual Display Adapter Ryzen 5 5600GT,2712
Barco MXRT 5500,2702
GRID P4-2Q,2693
GRID M10-2Q,2692
Quadro 6000,2692
Radeon RX 550,2684
Ryzen 7 Pro 4750G with Radeon Graphics,2682
Radeon Ryzen 5 PRO 6650H,2679
DisplayLink USB Device Ryzen 7 Pro 7735U,2678
Ryzen 7 5700GE with Radeon Graphics,2678
GeForce GTX 465,2654
FirePro R5000,2647
Intel Iris Xe,2642
Radeon 660M Ryzen 5 7533HS,2641
GRID P6-4A,2639
MONSTER GeForce GTX 675M,2637
Radeon Eng Sample: 100-000000285-30_Y,2627
Radeon Pro WX 4150,2617
Radeon HD 8770,2607
Radeon Pro WX 3100,2606
Snapdragon X Elite - X1E80100 - Qualcomm Adreno GP,2603
