name,type,dimensions,psu_type,bays
Corsair 4000D Airflow Tempered Glass Midi-Tower - white Window,E-ATX,230 mm x 466 mm x 453 mm,ATX,2
Aerocool Aero-300 Midi-Tower - black,ATX,198 mm x 460 mm x 415 mm,ATX,5
Antec P5 Mini - black,Micro-ATX,195 mm x 395 mm x 475 mm,ATX,4
Be quiet! Pure Base 500DX - black,ATX,232 mm x 463 mm x 450 mm,ATX,7
Be quiet! Pure Base 500DX - white,ATX,232 mm x 463 mm x 450 mm,ATX,7
BitFenix Aegis Core Micro-ATX - blue/black,Micro-ATX,205 mm x 470 mm x 480 mm,ATX,8
BitFenix Aegis Core Micro-ATX - yellow/black,Micro-ATX,205 mm x 470 mm x 480 mm,ATX,8
BitFenix Aegis Core Micro-ATX - red/black,Micro-ATX,205 mm x 470 mm x 480 mm,ATX,8
BitFenix Aegis Core Micro-ATX - black,Micro-ATX,205 mm x 470 mm x 480 mm,ATX,8
BitFenix Aegis Core Micro-ATX - white/black,Micro-ATX,205 mm x 470 mm x 480 mm,ATX,8
BitFenix Nova Mesh Midi-Tower - black,E-ATX,210 mm x 437 mm x 460 mm,ATX,3
BitFenix Nova Mesh Midi-Tower - white,E-ATX,210 mm x 437 mm x 460 mm,ATX,3
BitFenix Nova Mesh SE Midi-Tower - white,ATX,211 mm x 450 mm x 380 mm,ATX,2
"BitFenix Nova Mesh SE Midi-Tower, Tempered Glass - black",ATX,211 mm x 450 mm x 380 mm,ATX,2
BitFenix Nova Midi-Tower - black,ATX,183 mm x 437 mm x 465 mm,ATX,6
BitFenix Nova Midi-Tower - black Window,ATX,183 mm x 437 mm x 465 mm,ATX,6
BitFenix Nova Midi-Tower - white,ATX,183 mm x 437 mm x 465 mm,ATX,6
BitFenix Nova Midi-Tower - white Window,ATX,183 mm x 437 mm x 465 mm,ATX,9
Corsair 4000D Airflow Tempered Glass Midi-Tower - black Window,E-ATX,230 mm x 466 mm x 453 mm,ATX,2
"Corsair 5000D Airflow Midi-Tower, Tempered Glass - black",E-ATX,245 mm x 520 mm x 520 mm,ATX,6
"Corsair 5000D Airflow Midi-Tower, Tempered Glass - white",E-ATX,245 mm x 520 mm x 520 mm,ATX,6
Corsair Carbide SPEC-02 Midi-Tower - black/red,ATX,220 mm x 430 mm x 500 mm,ATX,5
Cougar Panzer Max Big-Tower - black Window,E-ATX,266 mm x 612 mm x 556 mm,ATX,8
Fractal Design Define Nano S Mini-ITX - black,Mini-ITX,203 mm x 330 mm x 400 mm,ATX,6
Fractal Design Focus G Midi-Tower - black Window,ATX,205 mm x 444 mm x 464 mm,ATX,3
Fractal Design Meshify C Midi-Tower - black,ATX,217 mm x 440 mm x 395 mm,ATX,3
"Fractal Design Meshify C Mini Dark TG Micro-ATX, Glas - black",Micro-ATX,212 mm x 399 mm x 395 mm,ATX,7
Fractal Design Meshify C Tempered Glass Dark Midi-Tower - black,ATX,217 mm x 440 mm x 395 mm,ATX,7
Fractal Design Meshify C Tempered Glass Midi-Tower - black,ATX,217 mm x 440 mm x 395 mm,ATX,5
Fractal Design Meshify C White Tempered Glass Midi-Tower - white,ATX,217 mm x 440 mm x 395 mm,ATX,3
Fractal Design Node 202 Mini-ITX - black,Mini-ITX,377 mm x 82 mm x 330 mm,SFX,2
Kolink Satellite Mini-ITX- / Micro-ATX - black,Micro-ATX,260 mm x 190 mm x 280 mm,ATX,7
Lian Li LANCOOL 205 Mesh C Midi-Tower - black,ATX,205 mm x 485 mm x 415 mm,ATX,2
Lian Li LANCOOL 205 Mesh C Midi-Tower - white,ATX,205 mm x 485 mm x 415 mm,ATX,2
"Lian Li LANCOOL 215 Midi-Tower - ARGB, Tempered Glass, black",E-ATX,215 mm x 482 mm x 462 mm,ATX,3
"Lian Li LANCOOL II Mesh C Performance Midi-Tower, Tempered Glass - black",E-ATX,229 mm x 494 mm x 478 mm,ATX,6
"Lian Li LANCOOL II Mesh RGB Midi-Tower, Tempered Glass - black",E-ATX,229 mm x 494 mm x 478 mm,ATX,6
"Lian Li LANCOOL II Midi-Tower, Tempered Glass, DRGB - black",E-ATX,229 mm x 494 mm x 478 mm,ATX,4
"Lian Li LANCOOL II Midi-Tower, Tempered Glass, DRGB - white",E-ATX,229 mm x 494 mm x 478 mm,ATX,4
"NZXT H510 Midi-Tower, TG - black Window",ATX,210 mm x 460 mm x 428 mm,ATX,6
"NZXT H510 Midi-Tower, TG - black/red Window",ATX,210 mm x 460 mm x 428 mm,ATX,6
"NZXT H510 Midi-Tower, TG - white Window",ATX,210 mm x 460 mm x 428 mm,ATX,6
NZXT H700i Midi-Tower - black/red Window,ATX,230 mm x 516 mm x 494 mm,ATX,10
"PHANTEKS Eclipse G360A Midi-Tower, Tempered Glass, ARGB - black",E-ATX,200 mm x 465 mm x 455 mm,ATX,7
"PHANTEKS Eclipse G360A Midi-Tower, Tempered Glass, ARGB - white",E-ATX,200 mm x 465 mm x 455 mm,ATX,7
"PHANTEKS Eclipse P360A Midi-Tower, Tempered Glass, D-RGB - black",E-ATX,200 mm x 455 mm x 465 mm,ATX,4
"PHANTEKS Eclipse P360A Midi-Tower, Tempered Glass, D-RGB - white",E-ATX,200 mm x 455 mm x 465 mm,ATX,4
PHANTEKS Eclipse P400 Midi-Tower - black Window,E-ATX,210 mm x 495 mm x 470 mm,ATX,4
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass - black",E-ATX,210 mm x 465 mm x 470 mm,ATX,2
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass, DRGB - black",E-ATX,210 mm x 465 mm x 470 mm,ATX,2
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass, DRGB - white",E-ATX,210 mm x 465 mm x 470 mm,ATX,2
"PHANTEKS Eclipse P400S Midi-Tower, anthrazit - isolated",E-ATX,210 mm x 495 mm x 470 mm,ATX,4
"PHANTEKS Eclipse P400S Midi-Tower, black - isolated",E-ATX,210 mm x 495 mm x 470 mm,ATX,4
"PHANTEKS Enthoo Evolv ATX Midi-Tower, Tempered Glass - black",E-ATX,235 mm x 495 mm x 510 mm,ATX,9
"PHANTEKS Enthoo Evolv ATX Midi-Tower, Tempered Glass - silver",E-ATX,235 mm x 495 mm x 510 mm,ATX,9
"PHANTEKS Enthoo Primo Big-Tower, blaue LED - black",E-ATX,250 mm x 650 mm x 600 mm,ATX,18
PHANTEKS XT Pro Tempered Glass Windows - black,E-ATX,230 mm x 500 mm x 450 mm,ATX,4
Raijintek STYX Micro-ATX - white,Micro-ATX,210 mm x 335 mm x 360 mm,ATX,9
"Silverstone Fara H1M Pro Micro-ATX, Tempered Glass - white",Micro-ATX,210 mm x 392 mm x 366 mm,ATX,4
Silverstone Fara R1 Midi-Tower - white,ATX,207 mm x 446 mm x 390 mm,ATX,5
"Silverstone Fara R1 Midi-Tower, Tempered Glass - white",ATX,207 mm x 446 mm x 390 mm,ATX,5
Silverstone SST-PS08W Precision Midi-Tower - white,Micro-ATX,168 mm x 355 mm x 400 mm,ATX,5
Silverstone SST-RL06WS-PRO Redline Midi-Tower - white/silver Window,ATX,200 mm x 477 mm x 455 mm,ATX,8
Silverstone SST-RVZ01B Raven Z Mini-ITX - black,Mini-ITX,382 mm x 105 mm x 350 mm,SFX,4
"Thermaltake Core P7, Tempered Glass - black",E-ATX,570 mm x 608 mm x 333 mm,ATX,14
Aerocool Aero-1000 Midi-Tower - black Window,ATX,210 mm x 500 mm x 497 mm,ATX,12
