name,microarchitecture,core_clock,boost_clock,cores
AMD Ryzen 5 5600X,AM4,3.7,4.6,6
AMD Ryzen 5 5500,AM4,3.6,4.2,6
AMD Ryzen 5 5600,AM4,3.5,4.4,6
AMD Ryzen 5 5600G,AM4,3.9,4.4,6
AMD Ryzen 5 7600,AM5,3.8,5.1,6
AMD Ryzen 5 7600X,AM5,4.7,5.3,6
AMD Ryzen 5 8400F,AM5,4.2,4.7,6
AMD Ryzen 5 8500G,AM5,4.1,5.0,6
AMD Ryzen 5 8600G,AM5,4.3,5.0,6
AMD Ryzen 7 5700G,AM4,3.8,4.6,8
AMD Ryzen 7 5700X,AM4,3.4,4.6,8
AMD Ryzen 7 5700X3D,AM4,3.0,4.1,8
AMD Ryzen 7 5800X,AM4,3.8,4.7,8
AMD Ryzen 7 5800X3D,AM4,3.4,4.5,8
AMD Ryzen 7 7700,AM5,3.8,5.3,8
AMD Ryzen 7 7700X,AM5,4.5,5.4,8
AMD Ryzen 7 7800X3D,AM5,4.2,5.0,8
AMD Ryzen 7 8700F,AM5,4.1,5.0,8
AMD Ryzen 7 8700G,AM5,4.2,5.1,8
AMD Ryzen 9 5900X,AM4,3.7,4.8,12
AMD Ryzen 9 5950X,AM4,3.4,4.9,16
AMD Ryzen 9 7900,AM5,3.7,5.4,12
AMD Ryzen 9 7900X,AM5,4.7,5.6,12
AMD Ryzen 9 7900X3D,AM5,4.4,5.6,12
AMD Ryzen 9 7950X,AM5,4.5,5.7,16
AMD Ryzen 9 7950X3D,AM5,4.2,5.7,16
Intel Core Ultra 5 245K,1851,4.2,5.2,6
Intel Core Ultra 5 245KF,1851,4.2,5.2,6
Intel Core Ultra 7 265K,1851,3.9,5.5,8
Intel Core Ultra 7 265KF,1851,3.9,5.5,8
Intel Core Ultra 9 285K,1851,3.7,5.7,8
AMD A10-6790K,FM2,4.0,4.3,4
AMD A10-7800,FM2+,3.5,3.9,2
AMD A10-7850K,FM2+,3.7,4.0,2
AMD A10-7860K,FM2+,3.6,4.0,2
AMD A10-7870K,FM2+,3.9,4.1,2
AMD A10-7890K,FM2+,4.1,4.3,2
AMD A10-9700,AM4,3.5,,4
AMD A10-9700E,AM4,,,4
AMD A12-9800,AM4,3.8,,4
AMD A12-9800E,AM4,3.1,,4
AMD A4-4020,"FM2, FM2+",3.2,3.4,1
AMD A4-5300,FM2,3.4,3.6,2
AMD A4-7300,FM2,3.8,4.0,1
AMD A6-6400K,FM2,3.9,4.1,2
AMD A6-6420K,"FM2, FM2+",4.0,4.2,1
AMD A6-7400K,FM2+,3.5,3.9,1
AMD A6-7470K,FM2+,3.7,4.0,1
AMD A6-9500,AM4,3.5,,2
AMD A6-9500E,AM4,3.0,,2
AMD A8-6600K,FM2,3.9,4.2,4
AMD A8-7600,FM2+,3.1,3.8,2
AMD A8-7650K,FM2+,3.3,3.7,2
AMD A8-7650K,FM2+,3.3,3.7,2
AMD A8-7670K,FM2+,3.6,3.9,2
AMD A8-9600,AM4,3.1,,4
AMD Athlon 200GE,AM4,3.2,,2
AMD Athlon 220GE,AM4,3.4,,2
AMD Athlon 240GE,AM4,3.5,,2
AMD Athlon 3000G,AM4,3.5,,2
AMD Athlon X4 845,FM2+,3.5,3.8,2
AMD Athlon X4 860K,FM2+,3.7,4.0,2
AMD Athlon X4 860K,FM2+,3.7,4.0,2
AMD Athlon X4 870K,FM2+,3.9,4.1,2
AMD Athlon X4 880K,FM2+,4.0,4.2,2
AMD Athlon X4 950,AM4,3.5,,4
AMD FX-4300,AM3+,3.8,4.0,4
AMD FX-4350,AM3+,4.2,4.3,4
AMD FX-6300,AM3+,3.5,4.1,6
AMD FX-6350,AM3+,3.9,4.2,6
AMD FX-8150,AM3+,3.6,4.2,8
AMD FX-8300,AM3+,3.3,4.2,8
AMD FX-8320,AM3+,3.5,4.0,8
AMD FX-8320E,AM3+,3.2,4.0,8
AMD FX-8350,AM3+,4.0,4.2,8
AMD FX-8370,AM3+,4.0,4.3,8
AMD FX-8370,AM3+,4.0,4.3,8
AMD FX-8370E,AM3+,3.3,4.3,4
AMD FX-9370,AM3+,4.4,4.7,4
AMD FX-9590,AM3+,4.7,5.0,8
AMD Phenom II X6 1090T,AM3,3.2,3.6,6
AMD Ryzen 3 1200,AM4,3.1,3.4,4
AMD Ryzen 3 1200 AF,AM4,3.1,3.4,4
AMD Ryzen 3 1300X,AM4,3.5,3.7,4
AMD Ryzen 3 2200G,AM4,3.5,3.7,4
AMD Ryzen 3 3100,AM4,3.6,3.9,4
AMD Ryzen 3 3200G,AM4,3.6,4.0,4
AMD Ryzen 3 3300X,AM4,3.8,4.3,4
AMD Ryzen 3 4100,AM4,3.8,4.0,4
AMD Ryzen 5 1400,AM4,3.2,3.4,4
AMD Ryzen 5 1500X,AM4,3.5,3.7,4
AMD Ryzen 5 1600,AM4,3.2,3.6,6
AMD Ryzen 5 1600 AF,AM4,3.2,3.6,6
AMD Ryzen 5 1600X,AM4,3.6,4.0,6
AMD Ryzen 5 2400G,AM4,3.6,3.9,4
AMD Ryzen 5 2600,AM4,3.4,3.9,6
AMD Ryzen 5 2600,AM4,3.4,3.9,6
AMD Ryzen 5 2600X,AM4,3.6,4.1,6
AMD Ryzen 5 2600X,AM4,3.6,4.2,6
AMD Ryzen 5 3400G,AM4,3.7,4.2,4
AMD Ryzen 5 3500X,AM4,3.6,4.1,6
AMD Ryzen 5 3600,AM4,3.6,4.2,6
AMD Ryzen 5 3600,AM4,3.6,4.2,6
AMD Ryzen 5 3600X,AM4,3.8,4.4,6
AMD Ryzen 5 3600XT,AM4,3.8,4.5,6
AMD Ryzen 5 4500,AM4,3.6,4.1,6
AMD Ryzen 5 5500GT,AM4,3.6,4.4,6
AMD Ryzen 5 5600GT,AM4,3.6,4.6,6
AMD Ryzen 5 7600X3D,AM5,4.1,4.7,6
AMD Ryzen 5 9600X,AM5,3.9,5.4,6
AMD Ryzen 7 1700,AM4,3.0,3.7,8
AMD Ryzen 7 1700X,AM4,3.4,3.8,8
AMD Ryzen 7 1800X,AM4,3.6,4.0,8
AMD Ryzen 7 2700,AM4,3.2,4.1,8
AMD Ryzen 7 2700,AM4,3.2,4.1,8
AMD Ryzen 7 2700X,AM4,3.7,4.3,8
AMD Ryzen 7 3700X,AM4,3.6,4.4,8
AMD Ryzen 7 3800X,AM4,3.9,4.5,8
AMD Ryzen 7 3800XT,AM4,3.9,4.7,8
AMD Ryzen 7 5700,AM4,3.7,4.6,8
AMD Ryzen 7 9700X,AM5,3.8,5.5,8
AMD Ryzen 7 9800X3D,AM5,4.7,5.2,8
AMD Ryzen 9 3900X,AM4,3.8,4.6,12
AMD Ryzen 9 3900XT,AM4,3.8,4.7,12
AMD Ryzen 9 3950X,AM4,3.5,4.7,16
AMD Ryzen 9 9900X,AM5,4.4,5.6,12
AMD Ryzen 9 9900X3D,AM5,4.4,5.5,12
AMD Ryzen 9 9950X3D,AM5,4.3,5.7,16
AMD Ryzen Threadripper 1900X,TR4,3.8,4.0,8
AMD Ryzen Threadripper 1920X,TR4,3.5,4.0,12
AMD Ryzen Threadripper 1950X,TR4,3.4,4.0,16
AMD Ryzen Threadripper 2920X,TR4,3.5,4.3,12
AMD Ryzen Threadripper 2950X,TR4,3.5,4.4,16
AMD Ryzen Threadripper 2970WX,TR4,3.0,4.2,24
AMD Ryzen Threadripper 2990WX,TR4,3.0,4.0,32
AMD Ryzen Threadripper 3960X,TRX40,3.8,4.5,24
AMD Ryzen Threadripper 3970X,TRX40,3.7,4.5,32
AMD Ryzen Threadripper 3990X,TRX40,2.9,4.3,64
AMD Ryzen Threadripper 7960X,sTR5,4.2,5.3,24
AMD Ryzen Threadripper 7970X,sTR5,4.0,5.3,32
AMD Ryzen Threadripper 7980X,sTR5,3.2,5.1,64
AMD Ryzen Threadripper Pro 3955WX,sWRX80,3.9,4.3,16
AMD Ryzen Threadripper Pro 3975WX,sWRX80,3.5,4.2,32
AMD Ryzen Threadripper Pro 3995WX,sWRX80,2.7,4.2,64
AMD Ryzen Threadripper Pro 5955WX,sWRX8,4.0,4.5,16
AMD Ryzen Threadripper Pro 5965WX,sWRX8,3.8,4.5,24
AMD Ryzen Threadripper Pro 5975WX,sWRX8,3.6,4.5,32
AMD Ryzen Threadripper Pro 5995WX,sWRX8,2.7,4.5,64
AMD Ryzen Threadripper Pro 7965WX,sTR5,4.2,5.3,24
AMD Ryzen Threadripper Pro 7975WX,sTR5,4.0,5.3,32
AMD Ryzen Threadripper Pro 7985WX,sTR5,3.2,5.1,64
AMD Ryzen Threadripper Pro 7995WX,sTR5,2.5,5.1,96
Intel 300,1700,3.9,,2
Intel Celeron G1840,1150,2.8,,2
Intel Celeron G6900,1700,3.4,,2
Intel Core i3-10100,1200,3.6,4.1,4
Intel Core i3-10100F,1200,3.6,4.3,4
Intel Core i3-10105,1200,3.7,,4
Intel Core i3-10300,1200,3.7,4.2,4
Intel Core i3-10305,1200,3.8,,4
Intel Core i3-10320,1200,3.8,4.4,4
Intel Core i3-12100,1700,3.3,4.3,4
Intel Core i3-12100F,1700,3.3,4.3,4
Intel Core i3-13100,1700,3.4,,4
Intel Core i3-13100F,1700,3.4,,4
