name,supported_socket,type
be quiet! Dark Rock 4  - 135mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",Air
Arctic Freezer 34  - 120mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",Air
"Arctic Freezer 34 eSports Duo , 2x 120mm - red","1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",Air
"Arctic Freezer 34 eSports Duo , 2x 120mm - white","1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",Air
Arctic Freezer A11  - 92mm,"AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Arctic Freezer A32  - 120mm,"AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Arctic Freezer I11  - 92mm,"1150, 1151, 1155, 1156, 2011, 2011-V3",Air
Arctic Freezer i32,"1150, 1151, 1155, 1156, 2011, 2011-V3",Air
Arctic Liquid Freezer II Processor,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",AIO
Arctic Liquid Freezer II Processor,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",AIO
Arctic Liquid Freezer II Processor,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066",AIO
be quiet! Dark Rock Pro 4  - 135mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",Air
be quiet! Pure Rock  - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Cooler Master Hyper 212 Black Edition - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Corsair Cooling Hydro Series H100i Pro,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, TR4, sTRX4",AIO
Corsair Cooling Hydro Series H115i PRO,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM4, FM1, FM2, TR4, sTRX4",AIO
