name,chipset,vram,tdp
Sapphire Pulse Radeon RX 6600 Gaming,Radeon RX 6600,8,132
Aorus RTX 3070 Master,GeForce RTX 3070,8,220
ASRock Arc A750 Challenger D OC,Intel Arc A750,8,225
ASRock Arc B580 Challenger OC,Intel Arc B580,12,190
ASRock Arc B580 Steel Legend OC,Intel Arc B580,12,190
ASRock Radeon RX 7600 Challenger 8GO,Radeon RX 7600,8,165
ASRock Radeon RX 7600 Phantom Gaming 8GO,Radeon RX 7600,8,165
ASRock Radeon RX 7600 Steel Legend 8GO,Radeon RX 7600,8,165
ASRock Radeon RX 7600 XT Challenger 16GO,Radeon RX 7600 XT (16GB),16,190
ASRock Radeon RX 7600 XT Steel Legend 16GO,Radeon RX 7600 XT (16GB),16,190
ASRock Radeon RX 7700 XT Challenger 12GO,Radeon RX 7700 XT,12,245
ASRock Radeon RX 7700 XT Phantom Gaming 12GO,Radeon RX 7700 XT,12,245
ASRock Radeon RX 7700 XT Steel Legend 12GO,Radeon RX 7700 XT,12,245
ASRock Radeon RX 7800 XT Challenger 16GO,Radeon RX 7800 XT,16,263
ASRock Radeon RX 7800 XT Phantom Gaming 16GO,Radeon RX 7800 XT,16,263
ASRock Radeon RX 7800 XT Steel Legend 16GO,Radeon RX 7800 XT,16,263
ASUS GeForce RTX 3050 Dual,GeForce RTX 3050 (8GB),8,130
ASUS GeForce RTX 3050 Phoenix,GeForce RTX 3050 (8GB),8,130
ASUS GeForce RTX 3050 ROG Strix,GeForce RTX 3050 (8GB),8,130
ASUS GeForce RTX 3060 Dual LHR,GeForce RTX 3060,12,170
ASUS GeForce RTX 3060 Dual OC,GeForce RTX 3060,12,170
ASUS GeForce RTX 3060 Phoenix V2 12G LHR,GeForce RTX 3060,12,170
ASUS GeForce RTX 3060 ROG Strix,GeForce RTX 3060,12,170
ASUS GeForce RTX 3060 ROG Strix LHR,GeForce RTX 3060,12,170
ASUS GeForce RTX 3060 ROG Strix OC,GeForce RTX 3060,12,170
ASUS GeForce RTX 3060 Ti Dual Mini V2 O8G LHR,GeForce RTX 3060 Ti,8,250
ASUS GeForce RTX 3060 Ti Dual V2 O8G LHR,GeForce RTX 3060 Ti,8,200
ASUS GeForce RTX 3060 Ti ROG Strix V2 O8G LHR,GeForce RTX 3060 Ti,8,220
ASUS GeForce RTX 3060 Ti TUF V2 8G LHR,GeForce RTX 3060 Ti,8,200
ASUS GeForce RTX 3060 Ti TUF V2 O8G LHR,GeForce RTX 3060 Ti,8,200
ASUS GeForce RTX 3060 TUF,GeForce RTX 3060,12,170
ASUS GeForce RTX 3060 TUF LHR,GeForce RTX 3060,12,170
ASUS GeForce RTX 3060 TUF OC,GeForce RTX 3060,12,170
ASUS GeForce RTX 3070 Dual V2 O8G LHR,GeForce RTX 3070,8,220
ASUS GeForce RTX 3070 Noctua Edition,GeForce RTX 3070,8,220
ASUS GeForce RTX 3070 ROG Strix 8G White LHR,GeForce RTX 3070,8,220
ASUS GeForce RTX 3070 ROG Strix O8G White LHR,GeForce RTX 3070,8,220
ASUS GeForce RTX 3070 ROG Strix V2 O8G LHR,GeForce RTX 3070,8,220
ASUS GeForce RTX 3070 Ti ROG Strix,GeForce RTX 3070 Ti,8,290
ASUS GeForce RTX 3070 Ti ROG Strix OC,GeForce RTX 3070 Ti,8,290
ASUS GeForce RTX 3070 Ti TUF O8G LHR,GeForce RTX 3070 Ti,8,290
ASUS GeForce RTX 3070 TUF V2 O8G LHR,GeForce RTX 3070,8,220
ASUS GeForce RTX 3080 Noctua,GeForce RTX 3080,10,320
ASUS GeForce RTX 3080 ROG Strix 1,GeForce RTX 3080,10,320
ASUS GeForce RTX 3080 ROG Strix O1,GeForce RTX 3080,10,320
ASUS GeForce RTX 3080 ROG Strix V2 10G LHR,GeForce RTX 3080,10,320
ASUS GeForce RTX 3080 ROG Strix V2 O10G LHR,GeForce RTX 3080,10,320
ASUS GeForce RTX 3080 Ti ROG Strix O12G,GeForce RTX 3080 Ti,12,350
ASUS GeForce RTX 3080 Ti TUF,GeForce RTX 3080 Ti,12,350
ASUS GeForce RTX 3080 Ti TUF O12G,GeForce RTX 3080 Ti,12,350
ASUS GeForce RTX 3080 TUF Gaming 1,GeForce RTX 3080,10,320
ASUS GeForce RTX 3080 TUF Gaming O1,GeForce RTX 3080,10,320
ASUS GeForce RTX 3080 TUF V2 10G LHR,GeForce RTX 3080,10,320
ASUS GeForce RTX 3080 TUF V2 O10G LHR,GeForce RTX 3080,10,320
ASUS GeForce RTX 3090 ROG Strix 2,GeForce RTX 3090,24,350
ASUS GeForce RTX 3090 ROG Strix O2,GeForce RTX 3090,24,350
ASUS GeForce RTX 3090 Ti ROG Strix LC,GeForce RTX 3090 Ti,24,480
ASUS GeForce RTX 3090 Ti TUF,GeForce RTX 3090 Ti,24,450
ASUS GeForce RTX 3090 TUF Gaming 2,GeForce RTX 3090,24,350
ASUS GeForce RTX 3090 TUF Gaming O2,GeForce RTX 3090,24,350
ASUS GeForce RTX 4060 Dual,GeForce RTX 4060 (8GB),8,115
ASUS GeForce RTX 4060 ROG Strix,GeForce RTX 4060 (8GB),8,115
ASUS GeForce RTX 4060 Ti Dual,GeForce RTX 4060 Ti (8GB),8,160
ASUS GeForce RTX 4060 Ti Dual,GeForce RTX 4060 Ti (16GB),16,160
ASUS GeForce RTX 4060 Ti Dual A,GeForce RTX 4060 Ti (16GB),16,160
ASUS GeForce RTX 4060 Ti Dual O8G White,GeForce RTX 4060 Ti (8GB),8,650
ASUS GeForce RTX 4060 Ti ProArt,GeForce RTX 4060 Ti (16GB),16,160
ASUS GeForce RTX 4060 Ti ProArt A,GeForce RTX 4060 Ti (16GB),16,160
ASUS GeForce RTX 4060 Ti Strix,GeForce RTX 4060 Ti (16GB),16,160
ASUS GeForce RTX 4060 Ti Strix A,GeForce RTX 4060 Ti (16GB),16,160
ASUS GeForce RTX 4060 Ti TUF,GeForce RTX 4060 Ti (8GB),8,160
ASUS GeForce RTX 4070 Dual,GeForce RTX 4070,12,200
ASUS GeForce RTX 4070 Dual 12G White Edition,GeForce RTX 4070,12,200
ASUS GeForce RTX 4070 Dual O12G EVO,GeForce RTX 4070,12,200
ASUS GeForce RTX 4070 Dual O12G White Edition,GeForce RTX 4070,12,200
ASUS GeForce RTX 4070 Super Dual,GeForce RTX 4070 Super (12GB),12,220
ASUS GeForce RTX 4070 Super Dual 12G White,GeForce RTX 4070 Super (12GB),12,750
ASUS GeForce RTX 4070 Super Dual Evo,GeForce RTX 4070 Super (12GB),12,220
ASUS GeForce RTX 4070 Super Dual O12G White,GeForce RTX 4070 Super (12GB),12,220
ASUS GeForce RTX 4070 Super ProArt,GeForce RTX 4070 Super (12GB),12,220
ASUS GeForce RTX 4070 Super ROG Strix,GeForce RTX 4070 Super (12GB),12,220
ASUS GeForce RTX 4070 Super TUF,GeForce RTX 4070 Super (12GB),12,220
ASUS GeForce RTX 4070 Ti Super Dual,GeForce RTX 4070 Ti Super (16GB),16,285
ASUS GeForce RTX 4070 Ti Super ProArt,GeForce RTX 4070 Ti Super (16GB),16,285
ASUS GeForce RTX 4070 Ti Super ROG Strix,GeForce RTX 4070 Ti Super (16GB),16,285
ASUS GeForce RTX 4070 Ti Super TUF,GeForce RTX 4070 Ti Super (16GB),16,285
ASUS GeForce RTX 4070 Ti Super TUF O16G BTF White,GeForce RTX 4070 Ti Super (16GB),16,285
ASUS GeForce RTX 4070 Ti Super TUF O16G White,GeForce RTX 4070 Ti Super (16GB),16,285
ASUS GeForce RTX 4070 TUF,GeForce RTX 4070,12,200
ASUS GeForce RTX 4080 ROG Strix,GeForce RTX 4080,16,320
ASUS GeForce RTX 4080 Super Noctua OC Edition,GeForce RTX 4080 Super (16GB),16,320
ASUS GeForce RTX 4080 Super ProArt,GeForce RTX 4080 Super (16GB),16,320
ASUS GeForce RTX 4080 Super ROG Strix,GeForce RTX 4080 Super (16GB),16,320
ASUS GeForce RTX 4080 Super ROG Strix 16G White,GeForce RTX 4080 Super (16GB),16,320
ASUS GeForce RTX 4080 Super ROG Strix O16G White,GeForce RTX 4080 Super (16GB),16,320
ASUS GeForce RTX 4080 Super TUF,GeForce RTX 4080 Super (16GB),16,320
ASUS GeForce RTX 4080 TUF,GeForce RTX 4080,16,320
ASUS GeForce RTX 4090 ROG Strix LC,GeForce RTX 4090,24,450
ASUS GeForce RTX 4090 TUF O24G OG,GeForce RTX 4090,24,850
ASUS Radeon RX 6500 XT Dual,Radeon RX 6500 XT (4GB),4,107
ASUS Radeon RX 6500 XT TUF,Radeon RX 6500 XT (4GB),4,107
ASUS Radeon RX 6600 Dual,Radeon RX 6600,8,132
ASUS Radeon RX 6600 XT Dual OC,Radeon RX 6600 XT,8,160
ASUS Radeon RX 6600 XT ROG Strix OC,Radeon RX 6600 XT,8,160
ASUS Radeon RX 6650 XT Dual,Radeon RX 6650 XT,8,180
ASUS Radeon RX 6700 XT Dual,Radeon RX 6700 XT,12,230
ASUS Radeon RX 6700 XT Dual (rev2),Radeon RX 6700 XT,12,230
ASUS Radeon RX 6700 XT ROG Strix O12G,Radeon RX 6700 XT,12,230
ASUS Radeon RX 6700 XT TUF O12G,Radeon RX 6700 XT,12,230
ASUS Radeon RX 6750 XT Dual,Radeon RX 6750 XT,12,250
ASUS Radeon RX 6750 XT ROG Strix,Radeon RX 6750 XT,12,250
