name,type,wattage
Seasonic Core GM 80 Plus Gold, semi-modular,ATX,650
Aerocool Project 7,ATX,750
Aerocool Project 7,ATX,650
be quiet! Dark Power Pro P11 modular,ATX,750
be quiet! Dark Power Pro P11 modular,ATX,1200
be quiet! Dark Power Pro P11 modular,ATX,1000
be quiet! Dark Power Pro P11 modular,ATX,850
be quiet! Pure Power 11 80 PLUS Bronze,ATX,300
be quiet! Pure Power 11 80 PLUS Gold,ATX,500
be quiet! Pure Power 11 80 PLUS Gold,ATX,400
be quiet! Pure Power 11 80 PLUS Gold,ATX,600
be quiet! Pure Power 11 80 PLUS Gold,ATX,700
be quiet! Pure Power 11 CM 80 PLUS Gold,ATX,500
be quiet! Pure Power 11 CM 80 PLUS Gold,ATX,400
be quiet! Pure Power 11 CM 80 PLUS Gold,ATX,600
be quiet! Pure Power 11 CM 80 PLUS Gold,ATX,700
be quiet! Pure Power 12M,ATX,850
be quiet! Pure Power 12M,ATX,550
be quiet! Pure Power 12M,ATX,750
be quiet! Pure Power 12M,ATX,650
be quiet! Straight Power 11,ATX,850
be quiet! Straight Power 11,ATX,1000
BitFenix Formula 80 PLUS Gold,ATX,550
BitFenix Formula 80 PLUS Gold,ATX,650
BitFenix Formula 80 PLUS Gold,ATX,450
BitFenix Whisper M 80 PLUS Gold,ATX,650
BitFenix Whisper M 80 PLUS Gold,ATX,850
BitFenix Whisper M 80 PLUS Gold,ATX,450
BitFenix Whisper M 80 PLUS Gold,ATX,550
Cooler Master MasterWatt,ATX,450
Corsair CX450,ATX,450
Corsair CX450M,ATX,450
Corsair CX550,ATX,550
Corsair RM Series RM1000i,ATX,1000
Corsair RM Series RM650,ATX,650
Corsair RM Series RM750,ATX,750
Corsair RM Series RM850,ATX,850
Corsair RM Series RM850i,ATX,850
Corsair RM550x,ATX,550
Corsair RM750x,ATX,750
Corsair RMX Series RM1000x,ATX,1000
Corsair RMX Series RM750x,ATX,750
Corsair RMX Series RM850x,ATX,850
Corsair RMX Series RMX550,ATX,550
Corsair RMX Series RMX550x,ATX,550
Corsair RMX Series RMX650,ATX,650
Corsair RMX Series RMX650x,ATX,650
Corsair RMX Series RMX750,ATX,750
Corsair RMX Series RMX850,ATX,850
Corsair SF Series SF450 80 PLUS Gold SFX,SFX,450
Corsair TX550M,ATX,550
Corsair TX550M Series Modular,ATX,550
Corsair TX650M,ATX,650
Corsair TX650M Series Modular,ATX,650
Corsair TX750M,ATX,750
Corsair TX750M Series Modular,ATX,750
Corsair TX850M,ATX,850
Corsair TX850M Series Modular,ATX,850
Corsair Vengeance Series V500,ATX,500
Corsair Vengeance Series V550M,ATX,550
Cougar VTX,ATX,450
EVGA 450B,ATX,450
EVGA 500B,ATX,500
EVGA SuperNOVA 550 G3,ATX,550
EVGA SuperNOVA 650 G3,ATX,650
EVGA Supernova 750 G2L,ATX,750
EVGA SuperNOVA 750 G3,ATX,750
EVGA SuperNOVA 850 G2,ATX,850
EVGA SuperNOVA G2,ATX,1600
EVGA SuperNOVA G2,ATX,1300
EVGA SuperNOVA G2,ATX,1000
EVGA SuperNOVA G2,ATX,650
EVGA SuperNOVA G2,ATX,750
EVGA SuperNOVA G2,ATX,550
EVGA SuperNOVA G3,ATX,1000
EVGA SuperNOVA G3,ATX,750
EVGA SuperNOVA P2,ATX,850
EVGA SuperNOVA P2,ATX,1000
EVGA SuperNOVA P2,ATX,750
EVGA SuperNOVA P2 80 PLUS Platinum,ATX,650
Kolink Enclave 80 PLUS Gold,ATX,500
Kolink SFX-250,SFX,250
Kolink SFX-350,SFX,350
MSI MAG A650GL,ATX,650
PHANTEKS AMP 80 PLUS Gold,ATX,550
PHANTEKS AMP 80 PLUS Gold,ATX,650
Seasonic Core GC 80 Plus Gold,ATX,650
Seasonic Core GC 80 PLUS Gold,ATX,500
Seasonic Core GM 80 PLUS Gold,ATX,500
Seasonic FOCUS 550 GOLD,ATX,550
Seasonic Focus GX 80 Plus Gold,ATX,550
Seasonic Focus GX 80 Plus Gold,ATX,750
Seasonic Focus GX 80 Plus Gold,ATX,650
Seasonic Focus GX 80 PLUS Gold,ATX,850
Seasonic Focus PX 80 Plus Platinum 750 Watt,ATX,750
"Seasonic P-Series, Fanless 80 PLUS Platinum",ATX,400
Seasonic PRIME 650 GOLD,ATX,650
Seasonic PRIME 750 W Platinum,ATX,750
Seasonic Prime PX 80 PLUS Platinum,ATX,650
Seasonic Prime Ultra 80 PLUS Platinum,ATX,650
Seasonic Snow Silent,ATX,1050
Silverstone SST-ST45SF V2.0 Strider Series SFX,SFX,450
Silverstone SST-SX500-LG v2.0 SFX-L 80 PLUS Gold,SFX-L,500
Silverstone SST-SX600-G Strider Gold Series,SFX,600
Silverstone SST-SX800-LTI SFX-L 80 PLUS Titanium,"ATX, SFX-L",800
Super Flower Golden Green HX,ATX,450
Super Flower Golden Green HX,ATX,550
"Super Flower Leadex 80 PLUS Platinum, black",ATX,650
Super Flower Leadex II,ATX,750
Super Flower Leadex II,ATX,650
Super Flower Leadex II,ATX,750
Super Flower Leadex II,ATX,650
Super Flower Leadex III 80 PLUS Gold,ATX,550
Super Flower Leadex III 80 PLUS Gold,ATX,650
Super Flower Leadex III 80 PLUS Gold,ATX,750
Super Flower Leadex III 80 PLUS Gold,ATX,850
Super Flower Leadex III ARGB 80 PLUS Gold,ATX,650
Super Flower Leadex III ARGB 80 PLUS Gold,ATX,550
Super Flower Leadex III ARGB 80 PLUS Gold,ATX,750
Super Flower Leadex III ARGB 80 PLUS Gold,ATX,850
Super Flower Platinum King,ATX,650
Super Flower Platinum King,ATX,450
Super Flower Platinum King,ATX,550
Aerocool Aero Bronze 500W 80 PLUS Bronze,ATX,500
Aerocool Aero Bronze 550M 80 PLUS Bronze,ATX,550
Aerocool Aero Bronze 550W 80 PLUS Bronze,ATX,550
Aerocool Aero Bronze 600W 80 PLUS Bronze,ATX,600
Aerocool Aero Bronze 650M 80 PLUS Bronze,ATX,650
Aerocool Aero Bronze 650W 80 PLUS Bronze,ATX,650
Aerocool Aero Bronze 700W 80 PLUS Bronze,ATX,700
Aerocool Aero Bronze 750M 80 PLUS Bronze,ATX,750
Aerocool Aero Bronze 750W 80 PLUS Bronze,ATX,750
Aerocool Aero Bronze 850M 80 PLUS Bronze,ATX,850
Aerocool Aero Cylon 400W 80 PLUS,ATX,400
Aerocool Aero White 500 80 PLUS,ATX,500
Aerocool Aero White 550 80 PLUS,ATX,550
Aerocool Aero White 600 80 PLUS,ATX,600
Aerocool Aero White 650 80 PLUS,ATX,650
Aerocool Aero White 700 80 PLUS,ATX,700
Aerocool Cylon RGB 500W 80 PLUS,ATX,500
Aerocool Cylon RGB 600W 80 PLUS,ATX,600
Aerocool Cylon RGB 700W 80 PLUS,ATX,700
Aerocool Project 7,ATX,850
