name,capacity,type,unit,form_factor
Crucial P2 1000 GB,1,SSD,TB,m.2
ADATA XPG SX8200 Pro Series 2000 GB,2,SSD,TB,m.2
ADATA XPG SX8200 Pro Series 512 GB,512,SSD,GB,m.2
ADATA XPG SX8200 Series,240,SSD,GB,m.2
ADATA XPG SX8200 Series,480,SSD,GB,m.2
ADATA XPG SX8200 Series,960,SSD,GB,m.2
Corsair Force LE Series  240GB TLC,240,SSD,GB,2.5
Corsair MP400 1000 GB,1,SSD,TB,m.2
Corsair MP400 2000 GB,2,SSD,TB,m.2
Corsair MP400 4000 GB,4,SSD,TB,m.2
Corsair MP400 8000 GB,8,SSD,TB,m.2
Corsair MP600 1000 GB,1,SSD,TB,m.2
Corsair MP600 2000 GB,2,SSD,TB,m.2
Corsair MP600 500 GB,500,SSD,GB,m.2
Corsair MP600 Pro 1000 GB,1,SSD,TB,m.2
Corsair MP600 Pro 2000 GB,2,SSD,TB,m.2
Crucial MX500 1000 GB,1,SSD,TB,2.5
Crucial MX500 2000 GB,2,SSD,TB,2.5
Crucial MX500 500 GB,500,SSD,GB,2.5
Crucial P1,2,SSD,TB,m.2
Crucial P1 1000 GB,1,SSD,TB,m.2
Crucial P1 500 GB,500,SSD,GB,m.2
Crucial P2 250 GB,250,SSD,GB,m.2
Crucial P2 500 GB,500,SSD,GB,m.2
Gigabyte Aorus 2000 GB,2,SSD,TB,m.2
Intel 660P 2000 GB,2,SSD,TB,m.2
Intel 660P 512 GB,512,SSD,GB,m.2
Kingston SSDNow UV400 Series 240 GB,240,SSD,GB,2.5
Lexar NM620 1000 GB,1,SSD,TB,m.2
Lexar NM620 2000 GB,2,SSD,TB,m.2
Sabrent Rocket,512,SSD,GB,m.2
Sabrent Rocket,1,SSD,TB,m.2
Sabrent Rocket,2,SSD,TB,m.2
Samsung 860 EVO Series 1000 GB,1,SSD,TB,2.5
Samsung 860 EVO Series 2000 GB,2,SSD,TB,2.5
Samsung 860 EVO Series 500 GB,500,SSD,GB,2.5
Samsung 860 QVO Series 1000 GB,1,SSD,TB,2.5
Samsung 860 QVO Series 2000 GB,2,SSD,TB,2.5
Samsung 860 QVO Series 4000 GB,4,SSD,TB,2.5
Samsung 970 EVO,250,SSD,GB,m.2
Samsung 970 EVO,2,SSD,TB,m.2
Samsung 970 EVO 1000 GB,1,SSD,TB,m.2
Samsung 970 EVO 500 GB,500,SSD,GB,m.2
Samsung 970 Evo Plus 1000 GB,1,SSD,TB,m.2
Samsung 970 Evo Plus 2000 GB,2,SSD,TB,m.2
Samsung 980 PRO Series 1000 GB,1,SSD,TB,m.2
Samsung 980 PRO Series 2000 GB,2,SSD,TB,m.2
Samsung 980 PRO Series 500 GB,500,SSD,GB,m.2
Seagate FireCuda 520 1000 GB,1,SSD,TB,m.2
Seagate FireCuda 520 2000 GB,2,SSD,TB,m.2
Seagate FireCuda 520 500 GB,500,SSD,GB,m.2
Western Digital Black SN750 NVMe M.2 Solid State Drive 1000 GB,1,SSD,TB,m.2
Western Digital Black SN750 NVMe M.2 Solid State Drive 2000 GB,2,SSD,TB,m.2
Western Digital Black SN750 Solid State Drive 2000 GB,2,SSD,TB,m.2
Western Digital Black SN750 Solid State Drive 500 GB,500,SSD,GB,m.2
Western Digital Blue SN550 NVMe 1000 GB,1,SSD,TB,m.2
Western Digital Blue SN550 NVMe 500 GB,500,SSD,GB,m.2
ADATA Gammix S11 Series,960,SSD,GB,m.2
ADATA Gammix S11 Series,240,SSD,GB,m.2
ADATA Gammix S11 Series,480,SSD,GB,m.2
ADATA Premier SP580,120,SSD,GB,2.5
ADATA XPG Gammix S50 Lite 1000 GB,1,SSD,TB,m.2
ADATA XPG Gammix S50 Lite 2000 GB,2,SSD,TB,m.2
ADATA XPG Spectrix S40G Series,1,SSD,TB,m.2
ADATA XPG Spectrix S40G Series 2000 GB,2,SSD,TB,m.2
ADATA XPG Spectrix S40G Series 4000 GB,4,SSD,TB,m.2
ADATA XPG SX6000 Pro Series 1000 GB,1,SSD,TB,m.2
ADATA XPG SX6000 Pro Series 256 GB,256,SSD,GB,m.2
ADATA XPG SX6000 Pro Series 512 GB,512,SSD,GB,m.2
ADATA XPG SX6000 Series,1,SSD,TB,m.2
