name,price
Corsair 4000D Airflow Tempered Glass Midi-Tower - white Window,104.99
Antec P5 Mini - black,59.99
Be quiet! Pure Base 500DX - black,109.9
Be quiet! Pure Base 500DX - white,93.99
BitFenix Nova Mesh Midi-Tower - black,62.99
BitFenix Nova Mesh Midi-Tower - white,62.99
BitFenix Nova Midi-Tower - black,60.26
BitFenix Nova Midi-Tower - black Window,57.82
BitFenix Nova Midi-Tower - white,54.2
BitFenix Nova Midi-Tower - white Window,57.76
Corsair 4000D Airflow Tempered Glass Midi-Tower - black Window,104.99
"Corsair 5000D Airflow Midi-Tower, Tempered Glass - black",154.99
"Corsair 5000D Airflow Midi-Tower, Tempered Glass - white",154.99
Corsair Carbide SPEC-02 Midi-Tower - black/red,71.74
Fractal Design Define Nano S Mini-ITX - black,64.99
Fractal Design Focus G Midi-Tower - black Window,54.99
Fractal Design Meshify C Midi-Tower - black,89.99
"Fractal Design Meshify C Mini Dark TG Micro-ATX, Glas - black",89.99
Fractal Design Meshify C Tempered Glass Dark Midi-Tower - black,99.99
Fractal Design Meshify C Tempered Glass Midi-Tower - black,99.99
Fractal Design Meshify C White Tempered Glass Midi-Tower - white,99.99
Fractal Design Node 202 Mini-ITX - black,89.99
"Hyte Y60 Midi Tower, Tempered Glass - black",179.99
"Hyte Y60 Midi Tower, Tempered Glass - black/red",179.99
"Hyte Y60 Midi Tower, Tempered Glass - black/white",169.99
"Lian Li LANCOOL 215 Midi-Tower - ARGB, Tempered Glass, black",89.99
"Lian Li LANCOOL II Mesh C Performance Midi-Tower, Tempered Glass - black",119.99
"Lian Li LANCOOL II Midi-Tower, Tempered Glass, DRGB - black",284.8
"Lian Li LANCOOL III E-ATX, Midi-Tower - black",149.99
"Lian Li LANCOOL III E-ATX, Midi-Tower - white",154.99
"Lian Li LANCOOL III E-ATX, Midi-Tower, RGB - black",152.99
"NZXT H510 Midi-Tower, TG - black Window",89.99
"NZXT H510 Midi-Tower, TG - black/red Window",79.99
"NZXT H510 Midi-Tower, TG - white Window",69.99
NZXT H700i Midi-Tower - black/red Window,199.99
"PHANTEKS Eclipse G360A Midi-Tower, Tempered Glass, ARGB - black",154.98
"PHANTEKS Eclipse G360A Midi-Tower, Tempered Glass, ARGB - white",89.99
"PHANTEKS Eclipse G500A D-RGB Midi-Tower, Tempered Glass - matt white",129.99
"PHANTEKS Eclipse G500A D-RGB Midi-Tower, Tempered Glass - black",129.99
"PHANTEKS Eclipse G500A Midi-Tower, Tempered Glass - black",119.99
"PHANTEKS Eclipse P360A Midi-Tower, Tempered Glass, D-RGB - black",79.99
"PHANTEKS Eclipse P360A Midi-Tower, Tempered Glass, D-RGB - white",89.99
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass - black",69.99
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass, DRGB - black",203.28
"PHANTEKS Eclipse P400A Midi-Tower, Tempered Glass, DRGB - white",248.55
"PHANTEKS Eclipse P400S Midi-Tower, anthrazit - isolated",79.37
"PHANTEKS Eclipse P400S Midi-Tower, black - isolated",73.43
"PHANTEKS Enthoo Evolv ATX Midi-Tower, Tempered Glass - black",194.99
"PHANTEKS Enthoo Evolv ATX Midi-Tower, Tempered Glass - silver",173.99
"PHANTEKS Enthoo Primo Big-Tower, blaue LED - black",259.99
"Silverstone Fara R1 Midi-Tower, Tempered Glass - white",77.57
Silverstone SST-RL06WS-PRO Redline Midi-Tower - white/silver Window,94.99
Silverstone SST-RVZ01B Raven Z Mini-ITX - black,120.84
"Thermaltake Core P7, Tempered Glass - black",299.99
Antec DA601 Midi-Tower - black,79.99
