name,price
AMD Ryzen 5 5600X,167.98
AMD Ryzen 5 5500,83.49
AMD Ryzen 5 5600,149.99
AMD Ryzen 5 5600G,128.0
AMD Ryzen 5 7600,199.99
AMD Ryzen 5 7600X,230.0
AMD Ryzen 5 8400F,135.0
AMD Ryzen 5 8500G,134.99
AMD Ryzen 5 8600G,160.0
AMD Ryzen 5 9600X,229.99
AMD Ryzen 7 5700G,198.99
AMD Ryzen 7 5700X,175.0
AMD Ryzen 7 5700X3D,196.89
AMD Ryzen 7 5800X,223.0
AMD Ryzen 7 5800X3D,324.99
AMD Ryzen 7 7700,328.98
AMD Ryzen 7 7700X,348.99
AMD Ryzen 7 7800X3D,449.0
AMD Ryzen 7 8700F,215.0
AMD Ryzen 7 8700G,254.99
AMD Ryzen 7 9700X,326.75
AMD Ryzen 9 5900X,346.99
AMD Ryzen 9 5950X,498.0
AMD Ryzen 9 7900,408.0
AMD Ryzen 9 7900X,438.99
AMD Ryzen 9 7900X3D,599.0
AMD Ryzen 9 7950X,583.99
AMD Ryzen 9 7950X3D,597.0
AMD Ryzen 9 9900X,382.55
Intel Core Ultra 5 245K,318.99
Intel Core Ultra 5 245KF,299.0
Intel Core Ultra 7 265K,379.13
Intel Core Ultra 7 265KF,379.0
Intel Core Ultra 9 285K,599.99
AMD A10-9700,68.94
AMD A10-9700E,130.0
AMD A6-7400K,51.9
AMD A6-7470K,5.6
AMD A6-9500,60.81
AMD A8-7600,73.32
AMD A8-7650K,76.0
AMD A8-9600,72.65
AMD Athlon 200GE,55.0
AMD Athlon 220GE,63.0
AMD Athlon 240GE,63.0
AMD Athlon 3000G,49.0
AMD FX-4300,90.05
AMD FX-6300,88.71
AMD FX-8300,143.61
AMD FX-8320E,132.61
AMD FX-8350,84.95
AMD FX-8370,140.86
AMD FX-9370,209.95
AMD FX-9590,231.22
AMD Ryzen 3 1200,80.99
AMD Ryzen 3 1300X,65.99
AMD Ryzen 3 2200G,79.99
AMD Ryzen 3 3100,99.0
AMD Ryzen 3 3200G,99.0
AMD Ryzen 3 3300X,120.0
AMD Ryzen 3 4100,69.0
AMD Ryzen 5 1400,139.99
AMD Ryzen 5 1500X,152.99
AMD Ryzen 5 1600,104.99
AMD Ryzen 5 1600 AF,109.99
AMD Ryzen 5 1600X,204.99
AMD Ryzen 5 2400G,123.89
AMD Ryzen 5 2600,133.0
AMD Ryzen 5 2600X,149.99
AMD Ryzen 5 2600X,269.99
AMD Ryzen 5 3400G,149.0
AMD Ryzen 5 3600,199.0
AMD Ryzen 5 3600X,239.0
AMD Ryzen 5 3600XT,199.99
AMD Ryzen 5 4500,76.0
AMD Ryzen 5 5500GT,103.36
AMD Ryzen 5 5600GT,105.99
AMD Ryzen 7 1700,301.72
AMD Ryzen 7 1700X,199.99
AMD Ryzen 7 1800X,249.99
AMD Ryzen 7 2700,149.99
AMD Ryzen 7 2700,169.99
AMD Ryzen 7 2700X,249.99
AMD Ryzen 7 3700X,329.0
AMD Ryzen 7 3800X,399.0
AMD Ryzen 7 3800XT,399.0
AMD Ryzen 7 5700,129.96
AMD Ryzen 9 3900X,499.0
