name,price
be quiet! Dark Rock 4  - 135mm,74.9
Arctic Freezer 34  - 120mm,29.44
"Arctic Freezer 34 eSports Duo , 2x 120mm - red",39.99
"Arctic Freezer 34 eSports Duo , 2x 120mm - white",43.08
be quiet! Pure Rock  - 120mm,34.9
Cooler Master Hyper 212 Black Edition - 120mm,36.99
Corsair Cooling Hydro Series H100i Pro,124.99
Corsair Cooling Hydro Series H115i PRO,143.55
"Corsair Cooling Hydro Series H150i PRO , RGB",189.88
"Noctua NH-U9S 92mm SSO2 U-Type Premium , NF-A9 PWM Fans, Retail",76.99
Aerocool P7-L240,96.99
Antec  K240,74.72
Antec A30  - 92mm,18.99
Antec A40 PRO  - 92mm,27.99
Antec A400 RGB Processor Kühler,39.95
Antec C40  - 92mm,39.9
Antec C400  - 120mm,38.87
Arctic Alpine 11 passiv,9.99
Arctic Alpine 12  - 92mm,11.9
Arctic Alpine 12 CO  - 92mm,11.99
Arctic Alpine 12 LP Low-Profile  - 92mm,8.99
Arctic Alpine 12 passiver  - black,9.99
Arctic Alpine 64 GT  - 80mm,9.99
Arctic Alpine 64 plus  - 92mm,16.65
Arctic Alpine 64 Pro Rev.2  - 92mm,13.97
Arctic Alpine AM4  - 92mm,7.99
"Arctic Alpine AM4 passiver , black",11.99
Arctic Alpine M1 aktiv,9.35
ARCTIC COOLING ACALP11-PRO-R2 92mm Fluid Dynamic Alpine 11 Pro Rev. 2  for Intel,16.33
ARCTIC COOLING ACALP64 Pro 92mm,17.99
ARCTIC COOLING ACALP64-GT 80mm Alpine 64 GT,8.92
ARCTIC COOLING ACFZ11-LP 92mm Fluid Dynamic Freezer 11 LP Intel  for Power Users,29.5
ARCTIC COOLING ACFZ13 92mm High Performance  for Intel and AMD,25.99
ARCTIC COOLING Alpine M1 80mm Fluid Dynamic,9.35
ARCTIC COOLING Freezer 7 Pro Rev.2 92mm Fluid Dynamic,22.44
ARCTIC COOLING Freezer A32 120mm Fluid Dynamic  with 120 mm Fan for AMD with New Fan Controller Made in Germany and PWM PST,29.15
ARCTIC COOLING Freezer i32 120mm Fluid Dynamic  with 120 mm Fan for Intel with New Fan Controller Made in Germany and PWM PST,29.44
"ARCTIC COOLING Freezer i32 CO 120mm Dual Ball Bearing  with 120 mm PWM PST, Dual Ball Bearing for Continuous Operation",34.93
ARCTIC COOLING UCACO-FA11001-CSA01 92mm,25.87
ARCTIC COOLING UCACO-FI11001-CSA01 92mm,24.93
ARCTIC COOLING UCACO-P0900-CSB01 120mm Fluid Dynamic Bearing,1.18
Arctic Freezer 11 LP  - 92mm,19.75
Arctic Freezer 12  - 92mm,26.99
Arctic Freezer 12 CO  - 92mm,24.99
Arctic Freezer 13 Continuous Operation  - 92mm,32.99
"Arctic Freezer 33 TR , red - 120mm",44.99
"Arctic Freezer 33 TR , white - 120mm",44.99
Arctic Freezer 34 CO  - 120mm,31.99
"Arctic Freezer 34 eSports , 120mm - red",37.99
"Arctic Freezer 34 eSports , 120mm - white",43.99
"Arctic Freezer 50 TR - ARGB, 120mm/140mm",70.99
Arctic Freezer 7 Pro PWM Rev.2  - 92mm,26.02
Arctic Freezer A13X,37.58
Arctic Freezer Xtreme Rev.2  - 120mm,34.99
Arctic Liquid Freezer II Processor,96.99
Arctic Liquid Freezer II Processor,99.99
Arctic Liquid Freezer II Processor,124.99
Arctic Liquid Freezer II Processor,129.99
ARCTIC Liquid Freezer III 240 A-RGB,90.08
ASUS ROG RYUJIN 360,279.99
ASUS ROG RYUO 120,115.99
ASUS ROG RYUO 240,184.99
ASUS ROG Strix LC 120,124.99
ASUS ROG Strix LC 120 RGB,124.99
ASUS ROG Strix LC 240,169.99
ASUS ROG Strix LC 240 RGB,169.99
ASUS ROG Strix LC 360,239.99
ASUS ROG Strix LC 360 RGB,239.99
be quiet! Dark Rock 3,69.99
be quiet! Dark Rock Pro 3,88.68
be quiet! Dark Rock Pro 4  - 135mm,89.9
be quiet! Dark Rock Pro TR4  - black,89.9
be quiet! Dark Rock Slim  - 120mm,59.99
be quiet! Dark Rock TF  - 135/135mm,79.9
be quiet! Dark Rock TF 2 - 135/135mm,85.9
be quiet! Pure Loop 2 FX 240mm,128.82
be quiet! Pure Loop 2 FX 280mm,125.9
be quiet! Pure Loop 2 FX 360mm,177.72
be quiet! Pure Rock 2  - 120mm,37.99
be quiet! Pure Rock 2 Black  - 120mm,44.99
be quiet! Pure Rock 2 FX Black,59.99
be quiet! Pure Rock LP Processor Kühler - 92mm,49.9
be quiet! Pure Rock Slim  - 92mm,28.58
be quiet! Pure Rock Slim 2 - 92mm,26.99
be quiet! Shadow Rock 2  - 120mm,49.0
be quiet! Shadow Rock 3  - 120mm,49.9
be quiet! Shadow Rock 3 White  - 120mm,59.9
be quiet! Shadow Rock LP Low Profile  - 120mm,44.9
be quiet! Shadow Rock Slim,49.9
be quiet! Shadow Rock Slim 2 - 135 cm,47.9
be quiet! Shadow Rock TF2  - 135mm,59.9
Cooler Master Hyper 212 Black Edition mit socket LGA 1700 - 120mm,54.99
Cooler Master Hyper 212 EVO V2 - 120mm,51.33
