name,price
Sapphire Pulse Radeon RX 6600 Gaming,251.99
Intel Arc B580 Limited Edition,249.99
Aorus RTX 3070 Master,629.99
ASRock Arc A380 Challenger ITX,119.99
ASRock Arc A750 Challenger D OC,229.99
ASRock Radeon RX 7600 Challenger 8GO,269.99
ASRock Radeon RX 7600 Phantom Gaming 8GO,259.99
ASRock Radeon RX 7700 XT Challenger 12GO,449.99
ASRock Radeon RX 7700 XT Phantom Gaming 12GO,538.7
ASRock Radeon RX 7700 XT Steel Legend 12GO,449.99
ASRock Radeon RX 7800 XT Challenger 16GO,549.99
ASRock Radeon RX 7800 XT Phantom Gaming 16GO,579.99
ASRock Radeon RX 7800 XT Steel Legend 16GO,548.94
ASRock Radeon VII,617.99
Asus AREZ PH RX 550 2G,119.99
Asus CERBERUS GTX 1050 O2G,151.99
Asus CERBERUS GTX 1050TI O4G,196.6
Asus DUAL GTX 1050 O2G,217.97
Asus DUAL GTX 1060 O3G,237.99
Asus DUAL GTX 1060 O6G,300.94
Asus DUAL RX 580 O4G,209.99
Asus DUAL RX 580 O8G,270.34
ASUS GeForce GT 1030,136.95
ASUS GeForce GT 1030 2G,79.99
ASUS GeForce GTX 1050 Ti PH,179.99
ASUS GeForce GTX 1050 Ti STRIX O4G Gaming,279.72
ASUS GeForce GTX 1060 Dual O3G,193.44
ASUS GeForce GTX 1070 Dual O8G,409.99
ASUS GeForce GTX 1070 STRIX O8G Gaming,373.99
ASUS GeForce GTX 1070 Ti Cerberus A8G,499.99
ASUS GeForce GTX 1080 STRIX 8G Gaming,599.89
ASUS GeForce GTX 1080 Ti STRIX O11G Gaming,829.99
ASUS GeForce GTX 1080 Turbo 8G,449.99
"ASUS GeForce GTX 1650 Dual O4G, 4096 MB GDDR5",211.81
"ASUS GeForce GTX 1650 Phoenix O4G, 4096 MB GDDR5",207.72
ASUS GeForce GTX 1650 Super,164.99
ASUS GeForce GTX 1650 TUF,379.48
ASUS GeForce GTX 1660 Super Dual O6G Evo,336.57
ASUS GeForce GTX 1660 Super Phoenix,307.09
