name,price
HGST Ultrastar He6,482.87
HGST Ultrastar He8,497.6
Seagate Archive Hard Drive ST6000AS0002 6TB 5900rpm 128MB,184.0
Seagate Archive Hard Drive ST8000AS0002 8TB 5900rpm 128MB,277.99
Seagate BarraCuda Compute Hard Drive 2 TB,49.99
Seagate Barracuda Hard Drive,51.0
Seagate BarraCuda Hard Drive,54.99
Seagate Barracuda Hard Drive,79.0
Seagate BarraCuda Hard Drive,84.99
Seagate Barracuda Hard Drive,123.28
Seagate BarraCuda Hard Drive 1 TB,45.95
Seagate BarraCuda Hard Drive 1 TB,49.99
Seagate BarraCuda Hard Drive 2 TB,74.99
Seagate BarraCuda Hard Drive 3 TB,88.99
Seagate BarraCuda Hard Drive 3 TB,129.99
Seagate BarraCuda Hard Drive 4 TB,67.99
Seagate BarraCuda Hard Drive 4 TB,179.99
Seagate BarraCuda Hard Drive 5 TB,214.88
Seagate BarraCuda Hard Drive 6 TB,139.99
Seagate BarraCuda Hard Drive 8 TB,119.99
Seagate BarraCuda Pro Hard Drive,159.99
Seagate BarraCuda Pro Hard Drive,219.22
Seagate BarraCuda Pro Hard Drive,279.99
Seagate BarraCuda Pro Hard Drive 1 TB,52.99
Seagate BarraCuda Pro Hard Drive 10 TB,217.88
Seagate BarraCuda Pro Hard Drive 12 TB,439.99
Seagate BarraCuda Pro Hard Drive 14 TB,549.99
Seagate BarraCuda Pro Hard Drive 2 TB,112.99
Seagate BarraCuda Pro Hard Drive ST8000DM005,269.99
Seagate Desktop Hard Drive ST3000DM001,94.99
Seagate Desktop Hard Drive ST6000DM001,199.0
Seagate Enterprise Capacity ST1000NM0008,79.99
Seagate Enterprise Capacity ST1000NM0055,159.95
Seagate Enterprise Capacity ST1000NX0313,89.99
Seagate Enterprise Capacity ST2000NM0033,116.99
Seagate Enterprise Capacity ST2000NM0055,126.93
Seagate Enterprise Capacity ST2000NX0253,309.99
Seagate Enterprise Capacity ST4000NM0115,1.18
Seagate Enterprise Capacity ST8000NM0055,172.88
Seagate Enterprise Hard Drive,136.99
Seagate Enterprise Hard Drive,150.99
Seagate Enterprise Hard Drive,223.99
