name,price
"Seasonic Core GM 80 Plus Gold, semi-modular",94.99
BitFenix Formula 80 PLUS Gold,71.18
BitFenix Whisper M 80 PLUS Gold,83.25
BitFenix Whisper M 80 PLUS Gold,95.31
Corsair CX450,54.99
Corsair CX450M,69.99
Corsair CX550,69.99
Corsair RM Series RM650,114.98
Corsair RM Series RM750,129.95
Corsair RM Series RM850,114.99
Corsair RM550x,109.99
Corsair RM750x,129.99
Corsair RMX Series RM1000x,199.99
Corsair RMX Series RM750x,134.99
Corsair RMX Series RM850x,149.99
Corsair TX550M,99.99
Corsair TX650M,94.99
Corsair TX750M,109.99
Corsair TX850M,109.99
EVGA SuperNOVA 550 G3,79.99
EVGA SuperNOVA 650 G3,89.99
EVGA SuperNOVA 750 G3,133.98
EVGA SuperNOVA 850 G2,146.69
MSI MAG A750GL PCIe5,100.82
PHANTEKS AMP 80 PLUS Gold,96.99
PHANTEKS AMP 80 PLUS Gold,105.99
Seasonic Core GM 80 PLUS Gold,79.99
Seasonic FOCUS 550 GOLD,107.99
Seasonic Focus GX 80 Plus Gold,107.99
Seasonic Focus GX 80 Plus Gold,119.99
Seasonic Focus GX 80 Plus Gold,124.99
Seasonic Focus GX 80 PLUS Gold,159.99
Seasonic Focus PX 80 Plus Platinum 750 Watt,149.0
"Seasonic P-Series, Fanless 80 PLUS Platinum",117.1
Seasonic PRIME 650 GOLD,104.93
Seasonic PRIME 750 W Platinum,149.9
Seasonic Prime Ultra 80 PLUS Platinum,134.99
Silverstone SST-ST45SF V2.0 Strider Series SFX,79.99
Silverstone SST-SX600-G Strider Gold Series,122.14
Silverstone SST-SX800-LTI SFX-L 80 PLUS Titanium,217.99
Super Flower Leadex III ARGB 80 PLUS Gold,104.99
Super Flower Leadex III ARGB 80 PLUS Gold,108.46
Aerocool Project 7,179.99
Antec High Current Gamer,99.99
Antec High Current Gamer,99.99
"be quiet! Straight Power 11, 80 PLUS Gold",132.99
BitFenix Formula 80 PLUS Gold,67.07
Corsair AX1500i Digital ATX Power Supply,449.99
Corsair AX760i Digital ATX Power Supply,229.99
Corsair CX550M,72.93
Corsair CX650,77.18
Corsair CX650M,47.99
Corsair CX750,87.66
Corsair CX750M,52.99
Corsair CX850M,87.99
Corsair HX1000,254.99
Corsair HX1000i High-Performance ATX Power Supply,262.92
Corsair HX750,144.99
Corsair HX750i High-Performance ATX Power Supply,194.99
Corsair HX850,159.99
Corsair HX850i High-Performance ATX Power Supply,224.99
Corsair Professional Platinum Series AX1600i,414.9
Corsair RM1000,199.99
Corsair RM1000x,204.99
