name,price
Corsair Vengeance LPX Series red DDR4-3200,41.99
ADATA Premier DDR5-4800,49.99
ADATA XPG Spectrix RGB D41 grey,125.78
ADATA XPG Spectrix RGB D41 red,170.58
ADATA XPG Spectrix RGB D60G grey,139.18
Corsair Dominator Platinum + AF,179.99
Corsair Dominator Platinum DDR4-2666 CL15,154.99
Corsair Dominator Platinum RGB Series,91.99
Corsair Dominator Platinum RGB Series,91.99
Corsair Dominator Platinum RGB Series,104.99
Corsair Dominator Platinum RGB Series,134.99
Corsair Dominator Platinum RGB Series,184.99
Corsair Dominator Platinum Series 16GB,271.99
Corsair Dominator Platinum Series 16GB,299.95
Corsair Dominator Platinum Series 32GB,182.99
Corsair Dominator Platinum Series DDR4-3200,109.99
Corsair LED 32GB,374.99
Corsair LPX 16GB,49.99
Corsair LPX 16GB,54.99
Corsair LPX 16GB,63.58
Corsair LPX 16GB,79.99
Corsair LPX 16GB,99.99
Corsair LPX 32GB,79.99
Corsair LPX 32GB,129.99
Corsair LPX 32GB,147.46
Corsair LPX 32GB,473.99
Corsair RGB 16GB,169.05
Corsair Value Select DDR3-1600 CL11,68.99
Corsair Value Select DDR4-2133  CL15,44.99
Corsair Value Select DDR4-2133  CL15  black,24.99
Corsair ValueSelect DDR3-1600 CL11,24.99
Corsair ValueSelect DDR3-1600 CL11,36.99
Corsair Vengeance,109.99
Corsair Vengeance,289.99
Corsair Vengeance DDR5-6000,99.99
Corsair Vengeance LED blue DDR4-3000  CL15,875.99
Corsair Vengeance LED blue DDR4-3200  CL16,161.19
Corsair Vengeance LED red DDR4-2666  CL16,117.1
Corsair Vengeance LED red DDR4-2666  CL16,309.99
Corsair Vengeance LED red DDR4-3000  CL15,698.56
Corsair Vengeance LED red DDR4-3200  CL16,168.26
Corsair Vengeance LED white DDR4-2666  CL16,117.1
Corsair Vengeance LED white DDR4-2666  CL16,237.91
Corsair Vengeance LED white DDR4-2666  CL16,619.99
Corsair Vengeance LED white DDR4-3000  CL15,658.75
Corsair Vengeance LED white DDR4-3200  CL16,216.88
Corsair Vengeance Low DDR3-1600 CL10  Low Profile,79.99
Corsair Vengeance Low DDR3-1600 CL9  Low Profile blue,79.99
Corsair Vengeance Low Profile Black DDR3-1600 CL9,65.22
Corsair Vengeance Low Profile DDR3-1600 CL109,125.45
Corsair Vengeance Low Profile DDR3-1600 CL9,79.99
Corsair Vengeance Low Profile DDR3-1600 CL9,105.74
Corsair Vengeance LPX Black DDR4-2133  CL13,76.99
Corsair Vengeance LPX Black DDR4-2133  CL13,274.99
Corsair Vengeance LPX Black DDR4-2133  CL15,299.99
Corsair Vengeance LPX Black DDR4-2666  CL16,349.99
Corsair Vengeance LPX blue DDR4-3000  CL15,129.99
Corsair Vengeance LPX Blue DDR4-2400  CL14,162.73
Corsair Vengeance LPX DDR4-2400 CL16,179.99
"Corsair Vengeance LPX red + AF, DDR4-3600, CL 18 - 16 GB Dual Kit",246.29
Corsair Vengeance LPX red DDR4-2400MHz CL14,24.99
Corsair Vengeance LPX red DDR4-2666 CL16,24.99
Corsair Vengeance LPX red DDR4-3000MHz CL15,92.99
Corsair Vengeance LPX black + AF,109.99
Corsair Vengeance LPX black DDR4-2400 CL16,93.99
Corsair Vengeance LPX black DDR4-2400MHz CL14,21.09
Corsair Vengeance LPX black DDR4-2666MHz CL16,24.99
"Corsair Vengeance LPX Series black DDR4-2400, CL14 - 32 GB Kit",166.99
"Corsair Vengeance LPX Series black DDR4-3000, CL15 - 8 GB Kit",82.75
Corsair Vengeance LPX Series black DDR4-3200,42.99
"Corsair Vengeance LPX Series black DDR4-3466, CL16 - 16 GB Kit",243.99
Corsair Vengeance LPX Series white,47.99
"Corsair Vengeance LPX Series white, DDR4-3200, CL 16 - 32 GB Dual-Kit",167.99
Corsair Vengeance RGB Pro Series black,64.97
Corsair Vengeance RGB Pro Series black,79.99
Corsair Vengeance RGB Pro Series black,104.99
Corsair Vengeance RGB Pro Series black,125.99
Corsair Vengeance RGB Pro Series black,127.99
Corsair Vengeance RGB Pro Series black,181.99
Corsair Vengeance RGB Pro Series black,216.99
Corsair Vengeance RGB Pro Series white,54.99
Corsair Vengeance RGB Pro Series white,77.99
Corsair Vengeance RGB Series black,252.99
Corsair Vengeance RGB Series white,235.23
Crucial Ballistix Elite series,79.99
"Crucial Ballistix Elite Series DDR4-2666, CL16 - 8 GB",62.99
Crucial Ballistix Sport AT series,156.99
Crucial Ballistix Sport LT DDR4-2400 CL16,119.48
Crucial Ballistix Sport LT DDR4-2400 red CL16,263.99
Crucial Ballistix Sport LT grey DDR4-2666 CL16,18.95
Crucial Ballistix Sport LT grey DDR4-2666 CL16,31.99
Crucial Ballistix Sport LT grey DDR4-2666 CL16,63.99
Crucial Ballistix Sport LT red DDR4-2666 CL16,49.95
Crucial Ballistix Sport LT series grey,75.83
"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 32 GB Kit",221.04
Crucial Ballistix Sport LT series red,77.99
Crucial Ballistix Sport LT series red,156.99
"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 8 GB",47.99
"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 8 GB Kit",38.72
Crucial Ballistix Sport LT series white,77.99
Crucial Ballistix Sport LT series white,156.99
"Crucial Ballistix Sport LT Series white DDR4-2400, CL16 - 32 GB Kit",131.99
Crucial Ballistix Sport LT white DDR4-2666 CL16,18.99
Crucial Ballistix Sport LT white DDR4-2666 CL16,44.99
Crucial Ballistix Tactical DDR4-3000 CL15,29.62
"Crucial Ballistix Tactical, DDR4-3000, CL16 - 16 GB Kit",227.53
Crucial DDR4-2133 CL15,39.29
Crucial DDR5-4800,52.99
Crucial DDR5-4800,123.99
Crucial DDR5-4800,242.99
G.Skill Aegis DDR4 DDR4-2133 16GB,34.99
G.Skill Aegis DDR4 DDR4-2133 32GB,183.93
G.Skill Aegis DDR4 DDR4-2133 4GB,17.99
G.Skill Aegis DDR4 DDR4-2133 8GB,39.99
G.Skill Aegis DDR4 DDR4-2400 16GB,79.99
G.Skill Aegis DDR4 DDR4-2400 32GB,196.31
G.Skill Aegis DDR4 DDR4-2400 4GB,19.99
G.Skill Aegis DDR4 DDR4-2400 8GB,22.99
G.Skill Aegis DDR4 DDR4-3000 16GB,39.99
G.Skill Aegis DDR4 DDR4-3000 8GB,23.99
G.Skill Flare X (for AMD) DDR4-2133 16GB,84.99
G.Skill Flare X Series,77.99
G.Skill Ripjaws V DDR4-3200 16GB,43.99
G.Skill Ripjaws V DDR4-3200 16GB,46.99
G.Skill Ripjaws V DDR4-3200 16GB,63.99
G.Skill Ripjaws V DDR4-3200 16GB,89.99
